id,slug,title,status,author_id,saved_byline_before,linked_user_id,live_display_name,link_state,proposed_saved_byline_after,proposed_link_change
10,top-ontario-tech-universities-worth-considering,Top Ontario Tech Universities Worth Considering in 2025,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
11,york-universitys-tech-ambitions-hype-or-real-momentum,York University's Tech Ambitions: Hype or Real Momentum?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
12,openai-gpt5-what-you-need-to-know,OpenAI's GPT-5 Is Here: What You Need to Know,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
13,best-laptops-2026-definitive-rankings,The Best Laptops of 2026: Our Definitive Rankings,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
14,android-16-review-google-gets-it-right,Android 16 Review: Google Finally Gets It Right,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
15,tesla-fsd-10-billion-miles,Tesla's Full Self-Driving Passes 10 Billion Miles,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
16,biggest-data-breach-2025,The Biggest Data Breach of 2025 (So Far),published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
17,nasa-artemis-iii-moon-return,NASA's Artemis III: Everything We Know About the Moon Return,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
18,where-does-claude-ai-draw-the-line,Where Does Claude AI Draw the Line?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
19,kimi-k3-china-ai-new-normal,Kimi K3: The Chinese AI Model Silicon Valley Underestimated,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
20,grok-4-5-speed-price-ai-race,Grok 4.5 Review: Why Its Speed and Price Matter,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
21,canada-telecom-fees-bell-rogers-telus,"Canada Banned Telecom Fees. Bell, Rogers and Telus Found New Ones",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
22,xbox-game-pass-layoffs-workers-paying,Xbox Layoffs: Are Workers Paying for the Game Pass Gamble?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
23,playstation-ending-physical-games,PlayStation Is Killing Physical Games. Gamers Should Be Furious.,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
24,ai-note-takers-workplace-privacy,AI Note-Takers Are Recording Work. Should Employees Be Worried?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
25,canada-social-media-ban-age-verification,Canada's Social Media Ban Could Require Age Verification For Everyone.,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
26,galaxy-z-fold-8-worth-the-price,"Galaxy Z Fold 8: Better Design, but Is It Worth the Price?",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
27,ai-browsers-kill-the-open-web,AI Browsers Are Convenient—but Could They Kill the Open Web?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
28,canada-ai-strategy-rules-come-later,Canada’s AI Strategy Pushes Adoption Before Clear Rules,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
29,how-to-choose-the-best-gaming-monitor,How to Choose the Best Gaming Monitor Without Wasting Money,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
30,canadian-submarine-sinks-us-warship-rimpac-2026,Canada’s Submarine Sank a U.S. Warship. Here Is What Actually Happened.,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
31,playstation-network-outage-digital-only-gaming,PlayStation Network Went Down Again. This Is Why Digital-Only Gaming Should Worry You.,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
32,claude-opus-5-ai-model-obsolescence,Claude Opus 5 Proves the Best AI Model Always Becomes the Old One,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
33,gordie-howe-bridge-canada-toll-revenue-deal,Canada Paid for the Gordie Howe Bridge. Now Everyone Is Fighting Over the Money.,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
34,galaxy-z-fold-8-vs-fold-8-ultra,"Samsung Fixed the Fold, Then Made Buyers Choose",published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
35,meta-alberta-data-centre-power-jobs,Meta’s Alberta Data Centre Has a Power Problem,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
36,openai-canada-privacy-ruling,Canada Says OpenAI Broke Privacy Law. Now What?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
37,xbox-exclusives-multiplatform-strategy,Xbox Brought Back Exclusives. What Was the Point?,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
42,jensen-huang-first-x-post-open-weight-ai,Jensen Huang’s First X Post Defends Open-Weight AI,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
43,openai-agent-hugging-face-security-test,OpenAI Agent Hacked Hugging Face During a Test,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
44,canada-defence-drone-initiative,Canada Opens a Faster Pipeline for Defence Drones,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
45,anthropic-canada-ai-research-investment,Anthropic’s $10M Canada Bet Is Smaller Than It Looks,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
46,nvidia-open-ai-security-alliance,Nvidia Launches Open Alliance for AI Security,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
47,nvidia-sk-group-ai-deal-asterisk,The $500 Billion AI Chip Deal Needs an Asterisk,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
48,apple-maps-ford-dashboard,Apple Maps Is Moving Into Ford’s Dashboard,published,1,Matthew Mbaka,1,Matthew Leo,valid,Matthew Leo,none
